UniqueCount	AmbigCount
0	734
0	584
0	70
0	0
14	110
17	0
0	11
2	0
4	0
4	0
4	0
1	0
29	0
41	0
53	0
1	0
119	0
27	0
656	0
51	82
396	0
92	0
281	0
24	0
58	0
162	0
24	0
64	0
156	0
65	0
0	13
1	0
489	0
38	0
61	0
2	0
27	0
49	0
0	0
255	0
16	0
22	0
16	0
33	0
58	0
10	0
0	4
0	0
0	0
0	0
0	0
95	0
63	0
3	0
4	0
62	0
23	0
191	0
10	303
11	303
38	0
4	787
16	787
12	0
28	0
59	0
17	0
273	0
0	0
187	0
151	0
38	0
799	0
203	0
6	262
9	262
27	0
0	17
0	17
11	0
3	0
0	18
0	4
16	0
1	78
2	78
65	0
256	0
134	0
74	0
0	3
30	342
0	342
5	0
4	0
1	0
141	0
34	0
41	0
52	0
1135	0
148	0
68	0
72	0
40	0
35	0
29	0
22	0
16	0
34	0
507	0
38	0
37	0
6	761
1	761
10	0
1	14
0	14
101	0
184	39
43	39
30	0
9	0
25	0
11	0
331	0
98	0
11	0
337	0
55	0
694	990
0	857
0	990
0	862
0	34
22	34
69	0
16	0
49	0
46	0
16	0
8	0
33	0
139	0
18	0
41	8
4	0
70	0
33	0
13	0
939	0
0	9
0	0
31	0
54	0
86	0
53	0
33	0
1	41
1	41
0	151
0	151
51	0
53	0
0	6
0	6
164	0
73	0
373	0
23	0
18	0
11	0
28	0
0	0
684	0
65	0
45	0
167	0
43	0
111	44
0	0
36	5
27	1
3	207
13	207
72	0
320	0
27	0
0	9
0	9
85	0
156	0
346	0
5	0
38	0
93	0
59	0
10	0
46	0
40	0
93	0
161	0
84	0
28	0
16	0
68	0
6	0
85	0
18	0
89	0
39	0
1	6
0	6
11	0
0	9
0	0
1	0
3	0
12	0
16	0
8	0
11	0
23	0
75	0
62	0
35	0
20	0
98	0
4	0
25	0
565	0
1	11
1	11
3	0
66	0
211	0
6	387
1	391
25	0
154	0
16	0
3	0
0	8
0	4
695	0
58	0
10	0
32	0
31	0
16	0
118	0
4	0
50	0
45	0
1	0
25	0
5	0
104	0
43	0
22	0
118	0
620	0
45	0
103	0
143	0
31	0
12	0
16	0
25	0
29	0
39	0
13	0
2	0
46	466
21	0
13	0
222	0
14	0
18	0
223	0
0	0
0	0
50	0
13	0
142	0
10	0
1	0
1	0
26	0
22	0
55	0
3	0
159	0
24	0
35	0
362	0
39	0
84	0
78	0
25	0
88	0
55	0
0	4
0	4
150	0
42	0
30	0
1	303
1	303
19	0
145	0
47	0
33	0
98	0
21	0
11	0
4	31
0	0
0	3
13	0
0	1
0	4
0	142
0	142
0	142
0	0
1	0
4	0
0	33
23	11
0	126
0	119
0	636
1	9
0	0
41	0
1	1
0	0
0	0
0	0
0	0
14	34
46	0
83	0
243	0
17	0
4	0
49	0
45	0
96	0
77	0
63	0
162	0
12	0
14	0
12	0
34	0
116	0
14	0
34	0
25	0
4	0
51	0
413	0
0	0
7	0
16	0
337	0
5	0
205	0
11	0
20	0
39	0
2	59
6	59
82	0
24	0
17	0
35	1
0	1
20	0
19	0
107	0
15	0
23	0
2	0
54	0
3	0
195	0
138	0
15	0
9	0
33	0
97	0
72	0
9	0
7	0
37	0
43	0
0	1
2085	2469
5	19
107	9
0	10
31	0
0	81
0	81
35	0
56	0
13	0
59	0
12	0
0	297
0	1
0	4
18	0
38	0
7	0
20	0
1	1
5	0
0	5
0	3
9	0
3	0
1	0
0	0
0	1
6	0
1	0
56	1
18	39
0	3
0	1
0	4
6	0
0	33
0	560
0	637
0	94
0	142
0	135
0	11
0	5
57	0
60	0
90	0
48	0
85	0
40	0
139	0
14	0
0	267
0	1451
0	1462
0	1462
0	5
2745	0
42	0
21	0
25	0
32	0
479	0
1	22
0	22
469	0
91	0
33	0
76	0
3	184
9	184
172	0
93	0
74	3
13	0
21	5
27	0
86	0
195	0
188	0
173	0
19	0
5	0
72	539
0	0
7	0
11	0
14	0
13	0
105	0
145	0
1646	0
67	0
45	0
41	0
3	138
10	138
0	43
1	43
227	0
33	0
82	0
21	0
12	0
80	0
158	0
2	142
2	142
53	0
80	0
313	0
20	0
907	0
0	0
101	0
34	0
506	0
2	65
1	65
70	0
20	0
165	0
19	0
64	0
21	0
65	0
164	0
55	0
11	0
403	0
120	0
235	0
78	0
7	378
0	378
2	34
6	34
1	0
59	0
18	0
359	0
35	0
69	0
23	0
1	21
1	21
238	0
19	0
427	0
0	2
0	10
23	0
1	0
133	1
9	0
26	0
4	0
31	0
260	0
57	0
35	0
0	4
0	7
0	7
0	7
0	18
108	0
458	81
212	6
311	0
127	0
22	0
63	0
