UniqueCount	AmbigCount
0	3342
0	2672
0	402
4	0
48	271
14	0
0	18
2	2
27	0
13	0
20	0
1	0
83	0
96	0
65	0
1	0
67	0
90	0
350	0
134	140
61	0
68	0
271	0
164	0
384	0
362	0
24	0
113	0
59	0
223	0
0	8
3	0
124	0
100	0
92	0
4	0
72	0
316	0
0	0
225	0
32	0
17	0
19	0
96	0
61	0
13	0
0	4
0	0
0	0
0	0
0	0
8	0
169	0
6	0
2	0
54	0
56	0
104	0
21	271
18	271
148	0
9	578
15	578
62	0
55	0
118	0
11	0
80	0
0	0
134	0
1431	0
44	0
616	0
354	0
14	159
12	159
32	0
0	54
0	54
20	0
0	0
0	8
0	5
2	0
2	112
2	112
85	0
468	0
228	0
205	0
0	0
36	416
0	416
9	0
10	0
0	0
80	0
61	0
46	0
136	0
474	0
693	0
249	0
80	0
55	0
84	0
13	0
18	0
24	0
55	0
1905	0
15	0
128	0
6	293
0	293
18	0
2	16
2	16
107	0
46	27
51	27
83	0
60	0
43	0
47	0
400	0
225	0
26	0
457	0
49	0
38	27
0	20
0	27
0	25
0	59
101	59
90	0
27	0
32	0
17	0
35	0
7	0
99	0
262	0
17	0
40	13
55	0
220	0
62	0
39	0
347	0
0	0
0	0
136	0
42	0
157	0
158	0
73	0
4	52
2	52
0	166
3	166
214	0
200	0
1	0
0	0
404	0
51	0
682	0
66	0
43	0
22	0
242	0
0	0
59	0
53	0
105	0
41	0
93	0
463	190
5	0
1989	53
100	5
0	62
1	62
121	0
605	0
53	0
0	59
0	59
283	0
156	0
465	0
5	0
170	0
82	0
117	0
35	0
113	0
88	0
218	0
428	0
47	0
89	0
12	0
71	0
25	0
152	0
40	0
50	0
40	0
0	47
0	47
13	0
0	0
0	0
0	0
2	0
14	0
11	0
9	0
19	0
214	0
202	0
50	0
41	0
27	0
112	0
5	0
38	0
187	0
4	45
3	45
5	0
107	0
402	0
17	339
1	354
24	0
112	0
16	0
13	0
0	7
0	0
101	0
37	0
8	0
29	0
87	0
91	0
17	0
3	0
22	0
181	0
0	0
31	0
19	0
125	0
72	0
75	0
207	0
400	0
69	0
91	0
416	0
39	0
21	0
39	0
29	0
49	0
83	0
19	0
5	0
951	3931
68	0
14	0
55	0
12	0
127	0
502	0
26	0
0	1
52	0
60	0
1209	0
1	0
0	0
2	0
196	0
51	0
70	0
13	0
386	0
21	0
28	0
134	0
84	0
114	0
50	0
33	0
98	0
266	0
1	7
0	7
76	0
50	0
201	0
8	541
7	541
64	0
597	0
130	0
79	0
319	0
36	0
18	0
57	76
0	0
0	7
11	0
2	2
0	10
0	523
0	523
0	523
0	0
3	0
7	0
9	90
47	14
0	868
0	812
0	2735
0	13
0	1
41	0
2	5
0	8
0	0
0	0
1	0
27	76
42	0
279	0
502	0
32	0
37	0
357	0
26	0
126	0
238	0
159	0
205	0
54	0
18	0
17	0
28	0
93	0
39	0
101	0
88	0
85	0
71	0
5013	0
2	0
23	0
36	0
272	0
10	0
182	0
23	0
47	0
163	0
2	88
18	88
210	0
24	0
32	0
