UniqueCount	AmbigCount
0	912
0	773
0	56
0	0
7	113
11	0
0	15
2	1
5	0
9	0
9	0
1	0
26	0
29	0
50	0
1	0
168	0
34	0
684	0
60	99
497	0
100	0
264	0
46	0
62	0
177	0
19	0
76	0
168	0
60	0
0	20
3	0
531	0
50	0
60	0
1	0
28	0
36	0
0	0
205	0
18	0
23	0
13	0
27	0
44	0
13	0
0	10
0	0
0	0
0	0
0	0
95	0
76	0
4	0
3	0
70	0
23	0
202	0
9	337
14	337
50	0
7	942
9	942
18	0
27	0
61	0
15	0
287	0
0	0
231	0
145	0
40	0
868	0
231	0
11	267
10	267
36	0
0	18
0	18
19	0
6	0
0	27
0	1
7	0
1	88
4	88
89	0
274	0
123	0
84	0
0	1
33	299
0	299
10	0
2	0
1	0
131	0
39	0
54	0
75	0
1400	0
164	0
58	0
52	0
28	0
31	0
29	0
26	0
9	0
28	0
586	0
39	0
37	0
1	906
3	906
14	0
1	15
0	15
114	0
175	39
60	39
25	0
8	0
25	0
23	0
373	0
82	0
6	0
371	0
48	0
810	1128
0	1006
0	1128
0	975
0	27
24	27
82	0
17	0
59	0
66	0
14	0
7	0
41	0
131	0
40	0
59	14
3	0
88	0
41	0
7	0
1095	0
0	7
0	0
25	0
70	0
89	0
47	0
36	0
0	44
0	44
0	158
0	158
45	0
63	0
3	6
1	6
182	0
82	0
381	0
27	0
20	0
13	0
48	0
1	0
921	0
88	0
60	0
190	0
29	0
112	45
2	0
53	5
30	2
0	242
10	242
82	0
304	0
27	0
0	13
0	13
107	0
162	0
378	0
2	0
48	0
95	0
87	0
10	0
43	0
56	0
128	0
199	0
79	0
41	0
19	0
87	0
13	0
88	0
17	0
91	0
30	0
1	14
0	14
7	0
0	7
0	0
1	0
1	0
22	0
6	0
7	0
9	0
30	0
92	0
66	0
35	0
11	0
102	0
4	0
31	0
744	0
1	8
0	8
4	0
66	0
223	0
3	398
1	405
31	0
183	0
14	0
5	0
0	6
0	2
784	0
62	0
5	0
26	0
36	0
22	0
136	0
8	0
50	0
54	0
1	0
15	0
4	0
92	0
41	0
30	0
131	0
676	0
50	0
89	0
176	0
27	0
9	0
15	0
21	0
39	0
24	0
12	0
10	0
52	607
9	0
15	0
264	0
14	0
37	0
273	0
0	0
0	0
38	0
25	0
129	0
5	0
1	0
0	0
40	0
28	0
55	0
2	0
172	0
36	0
32	0
395	0
42	0
84	0
71	0
19	0
92	0
96	0
1	4
2	4
201	0
51	0
18	0
0	290
0	290
37	0
168	0
32	0
33	0
103	0
19	0
5	0
18	36
0	0
0	1
20	0
0	2
0	3
0	157
0	157
0	157
0	0
5	0
7	0
0	21
27	10
0	140
0	128
0	815
2	15
0	2
29	0
5	2
0	2
0	0
0	0
0	0
20	45
57	0
101	0
336	0
7	0
13	0
90	0
43	0
100	0
66	0
73	0
180	0
15	0
19	0
17	0
36	0
157	0
9	0
40	0
15	0
14	0
56	0
533	0
1	0
2	0
13	0
372	0
7	0
266	0
8	0
19	0
35	0
0	68
4	68
93	0
30	0
23	0
26	4
1	4
13	0
23	0
124	0
17	0
26	0
6	0
54	0
3	0
243	0
166	0
31	0
17	0
47	0
102	0
75	0
7	0
8	0
39	0
40	0
0	2
2234	2870
8	18
145	5
0	13
35	0
0	80
0	80
31	0
55	0
7	0
67	0
10	0
0	296
0	1
0	2
18	0
37	0
6	0
26	0
2	1
8	0
0	2
0	1
14	0
4	0
0	0
0	0
0	2
6	0
1	0
70	0
13	51
0	1
2	2
1	3
2	0
0	21
0	726
0	790
0	79
0	154
0	142
0	11
0	3
49	0
69	0
106	0
48	0
76	0
72	0
172	0
17	0
0	313
0	1502
0	1513
0	1510
0	0
3157	0
34	0
44	0
34	0
46	0
504	0
5	36
2	36
541	0
83	0
30	0
88	0
2	178
5	178
219	0
97	0
50	3
24	0
10	11
22	0
90	0
209	0
216	0
214	0
13	0
3	0
68	545
2	0
5	0
15	0
11	0
19	0
108	0
217	0
1886	0
59	0
41	0
45	0
0	156
9	156
1	48
3	48
262	0
37	0
94	0
16	0
10	0
83	0
211	0
2	156
0	156
62	0
115	0
374	0
29	0
970	0
2	0
89	0
29	0
620	0
1	69
3	69
43	0
13	0
194	0
24	0
57	0
23	0
42	0
194	0
41	0
7	0
476	0
117	0
267	0
77	0
5	384
1	384
0	44
2	44
8	0
56	0
23	0
452	0
34	0
55	0
22	0
0	14
2	14
264	0
22	0
559	0
0	2
0	15
27	0
7	0
124	2
17	0
21	0
1	0
22	0
293	0
62	0
37	0
0	9
0	11
0	11
0	11
0	27
130	0
469	98
205	6
380	0
176	0
43	0
68	0
50	0
42	0
125	0
88	0
62	0
292	683
688	302
477	0
0	0
0	20
0	20
0	20
4	0
0	0
52	0
103	0
90	0
45	0
6	0
4	6
0	17
1	17
0	3
21	0
20	0
58	0
246	0
401	0
56	0
7	0
31	0
28	0
9	0
72	412
1	0
53	0
41	0
225	0
138	0
355	0
124	0
59	0
32	0
739	0
7	0
41	0
16	0
43	0
86	0
0	0
18	0
86	0
90	0
3	87
6	87
203	0
230	0
510	0
94	0
657	0
58	0
0	3
391	0
0	1
14	0
80	0
37	0
67	0
333	0
32	0
5	0
2	46
1	46
35	0
42	0
12	0
42	0
51	0
2	21
2	21
18	0
19	0
2732	0
7	0
113	0
38	0
28	0
30	0
36	294
5	294
93	0
63	0
134	0
0	6
0	23
8	491
18	491
42	0
56	0
4	369
0	369
0	0
123	0
304	0
17	0
108	0
0	364
35	390
13	149
37	0
2	5
17	10
48	0
74	0
30	0
50	0
112	0
807	0
30	0
54	0
16	0
284	0
203	0
11	0
64	0
106	0
31	0
252	0
2	8
6	8
227	19
238	0
183	0
436	0
0	5619
11	46
0	46
159	0
232	0
194	0
59	0
29	0
649	0
171	0
335	0
45	0
51	0
38	0
18	0
41	0
53	0
39	0
45	0
40	0
40	0
423	0
404	0
8	0
56	0
83	0
0	0
62	0
117	0
163	0
190	0
305	0
64	0
165	0
33	0
4	0
27	0
41	0
34	0
16	0
42	0
77	0
10	0
44	0
220	0
125	0
30	0
41	0
42	0
30	0
16	0
15	0
1517	0
30	0
45	0
156	0
262	0
12	0
23	0
279	0
189	0
17	0
4	417
2	417
21	0
1	0
224	0
9	0
53	0
8	23
0	23
37	0
15	0
8	262
9	262
4	209
2	209
23	0
22	0
12	0
13	0
421	0
2	0
1	0
3	0
102	0
141	0
39	0
1	0
28	0
252	0
39	0
140	0
27	0
55	0
76	0
137	0
3	0
0	6
0	27
20	0
25	0
30	0
10	0
323	0
0	74
1	74
30	0
11	0
433	35
0	4
2	14
0	14
146	0
1	0
143	0
11	0
52	0
62	0
19	0
85	0
5	612
5	612
326	0
11214	0
28	0
15	0
11	0
129	0
115	0
24	0
85	0
37	0
48	0
36	0
74	0
15	0
25	0
5	0
146	0
11	0
14	0
49	0
115	0
9	0
66	0
23	0
55	0
15	0
60	0
3	78
4	78
387	0
57	0
13	0
13	0
67	0
23	0
121	0
126	0
31	0
23	0
29	31
0	31
101	0
164	0
29	0
17	0
21	0
92	0
24	0
58	0
61	0
57	0
216	0
39	0
22	0
81	0
160	0
114	0
46	0
1654	0
313	0
27	0
46	0
239	0
19	0
14	0
14	0
53	0
48	0
8	0
0	0
48	32
358	0
1	0
0	43
0	4
151	847
0	0
4	0
1	7
2	9
0	6
0	583
0	5
22	0
7	0
48	0
52	0
136	40
0	40
668	0
113	0
41	0
11	0
1	0
68	0
57	0
61	0
149	0
33	0
3	0
2	0
9	0
64	0
20	0
427	0
0	44
0	461
0	435
53	0
67	0
21	0
10	0
770	0
89	0
36	0
22	0
37	0
158	0
8	0
51	0
6	0
40	0
4	0
255	0
76	0
0	27
1	0
0	343
0	1696
0	1705
0	1705
0	2
64	0
123	0
8	0
53	0
0	89
8	89
101	0
14	0
122	0
17	0
3	75
27	75
93	0
21	0
19	0
0	19
0	19
54	0
1	0
2	0
0	0
60	0
96	0
104	0
30	0
0	0
0	0
11	0
0	1
134	0
78	0
2	0
178	0
585	0
26	0
9	0
70	0
0	15
70	0
81	0
1	0
0	1
0	3
6	0
38	0
20	0
12	0
4001	0
1	0
46	0
16	0
317	0
62	1
7	0
22	0
8	0
0	1
9	0
0	56
4	56
86	0
0	0
4	399
13	399
20	0
31	0
308	0
15	0
54	0
40	0
39	0
0	48
32	631
0	23
0	18
81	1
11	0
13	0
23	0
4	0
62	0
45	0
2	3
0	3
15	0
11	0
68	0
10	0
23	0
20	0
7	0
44	0
3	0
1	0
1	0
22	0
15	0
26	0
6	0
78	0
62	0
5	0
30	0
40	0
14	0
26	0
31	0
99	0
29	0
14	0
163	0
53	0
41	0
5	0
36	0
6	0
164	0
17	0
11	0
151	0
85	0
248	0
9	0
69	0
1	0
0	393
7	170
28	170
15	0
0	4
0	8
0	4
3	0
9	2
0	14
0	0
0	0
0	33
9	0
7	561
1	22
0	129
0	161
0	9
130	177
0	0
3	0
41	0
154	0
14	0
46	0
41	0
27	0
169	0
18	0
36	0
121	0
125	0
66	217
8	0
19	0
104	0
25	0
1054	0
46	0
12	0
0	10
1	10
7	0
4	0
18	0
236	0
59	0
174	0
111	0
4	0
20	0
17	0
110	0
97	0
56	0
277	0
0	0
1580	0
15	0
67	0
36	0
20	0
46	0
153	0
60	0
227	0
79	0
24	0
179	3
5	583
0	580
76	0
24	0
74	21
5	0
593	0
5	958
14	0
103	35
501	0
70	0
22	0
103	0
4	0
30	0
54	0
395	0
85	0
716	0
111	0
49	0
1047	0
17	0
24	0
83	0
21	0
80	0
9	0
248	0
0	0
52	0
49	0
25	0
28	0
27	0
94	0
28	0
60	0
86	0
555	0
9	0
141	0
35	0
139	0
22	0
15	0
559	0
37	0
38	0
232	3
5	580
